time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1773681733977,download,100000,88.09999999962747,3876328.502415459,207,-1,100300,
1773681736718,download,100000,90.19999999925494,6782755.705896706,118.29999999888241,-1,100300,102 79.90000000037253
1773681736846,download,100000,94.29999999888241,6788494.077876969,118.19999999925494,-1,100300,
1773681736974,download,100000,92.80000000074506,6840579.710101478,117.30000000074506,-1,100300,104.90000000037253
1773681737117,download,100000,97.40000000037253,6074186.222575798,132.09999999962747,-1,100300,
1773681737291,download,100000,129.30000000074506,4907645.259938838,163.5,-1,100300,96.59999999962747
1773681737433,download,100000,101.10000000149012,6239502.332742632,128.60000000149012,-1,100300,92.09999999962747
1773681737585,download,100000,113.60000000149012,5662667.607577074,141.7000000011176,-1,100300,94.59999999962747
1773681737727,download,100000,106.40000000037253,6139250.191312732,130.69999999925494,-1,100300,
1773681737866,download,100000,104.59999999962747,6215336.948120181,129.09999999962747,-1,100300,142.5
1773681738155,download,1000000,104.09999999962747,28754581.38691547,278.30000000074506,-1,1000300,84.19999999925494
1773681738435,download,1000000,132.60000000149012,29759761.993264835,268.90000000037253,-1,1000300,81.29999999888241 88.5
1773681738705,download,1000000,118.90000000037253,30921174.652152095,258.80000000074506,-1,1000300,90
1773681738948,download,1000000,123,34507977.57648618,231.90000000037253,-1,1000300,84
1773681739201,download,1000000,131.40000000037253,33054109.87175029,242.10000000149012,-1,1000300,81.5 111
1773681739461,download,1000000,95.19999999925494,32189863.234159257,248.59999999962747,-1,1000300,106
1773681739701,download,1000000,126.5,34868845.31590414,229.5,-1,1000300,117.09999999962747
1773681739971,download,1000000,107.60000000149012,30981029.81020874,258.30000000074506,-1,1000300,107.09999999962747
1773681740220,upload,100000,238.39999999850988,3236714.9758648267,248.39999999850988,-1,376,87.69999999925494
1773681740332,upload,100000,99.40000000037253,7349177.330870768,109.40000000037253,-1,381,94.09999999962747
1773681740426,upload,100000,82.39999999850988,8701298.701439025,92.39999999850988,-1,380,
1773681740515,upload,100000,76.80000000074506,9262672.8109804,86.80000000074506,-1,375,
1773681740619,upload,100000,92.69999999925494,7828627.069190191,102.69999999925494,-1,376,111.79999999888241
1773681740704,upload,100000,73.89999999850988,9582836.710539682,83.89999999850988,-1,381,
1773681740789,upload,100000,73.60000000149012,9617224.880211351,83.60000000149012,-1,381,105.80000000074506
1773681740872,upload,100000,72.20000000111759,9781021.897677235,82.20000000111759,-1,381,
1773681743238,upload,1000000,530.3999999985099,14877868.245784918,540.3999999985099,-1,381,86.09999999962747 83.69999999925494 100.5
1773681743554,upload,1000000,301.5,25810593.900481537,311.5,-1,375,141.2999999988824
1773681743962,upload,1000000,395.5,19827373.612823673,405.5,-1,376,156.59999999962747
1773681744200,upload,1000000,225.30000000074506,34169145.77124752,235.30000000074506,-1,381,121.19999999925494
1773681744835,upload,1000000,621.7999999988824,12725546.058901902,631.7999999988824,-1,376,113.5 82.90000000037253 86 78.80000000074506
1773681745484,upload,1000000,636.2999999988824,12440043.323555471,646.2999999988824,-1,376,81.89999999850988 85.30000000074506 84.79999999888241
1773681746529,download,10000000,106.59999999962747,77446660.21297193,1033,-1,10000300,90.90000000037253 100.59999999962747 90.80000000074506 109.89999999850988 136.5
1773681747835,download,10000000,105.89999999850988,61835214.09805928,1293.7999999988824,-1,10000300,86.80000000074506 132.89999999850988 120.09999999962747 209.59999999962747 129.19999999925494
